length_in,beam_in,depth_in,weight_lbs,freeboard_in,gm_in,safety_factor,obj
192.0000000000015,32.22119355744025,16.588889488788077,236.556082725099,6.0000000000000835,6.000000000000133,367.27249741099894,236.556082725099
192.0,32.22119355744157,16.588889488789274,236.55608272511176,6.000000000001063,6.000000000000208,367.27249741105175,236.55608272511176
192.00000000000023,32.221193557445055,16.588889488787608,236.55608272511267,6.000000000000512,6.000000000003024,367.27249741101355,236.55608272511267
192.0,32.221193557442085,16.588889488790045,236.55608272511978,6.000000000001645,6.000000000000066,367.2724974110803,236.55608272511978
192.0,32.22119355744284,16.588889488790723,236.556082725128,6.000000000002201,6.000000000000109,367.272497411107,236.556082725128
192.0,32.22119355744427,16.58888948879138,236.5560827251387,6.000000000002851,6.000000000000538,367.2724974111367,236.5560827251387
192.00000000000176,32.22119355744732,16.588889488795417,236.55608272518407,6.000000000005954,6.000000000000013,367.2724974112821,236.55608272518407
192.0,32.22119355744957,16.58888948879661,236.5560827252001,6.0000000000070735,6.000000000000595,367.2724974113406,236.5560827252001
192.0,32.22119355746089,16.588889488791388,236.55608272520374,6.000000000005411,6.000000000009658,367.2724974112256,236.55608272520374
192.0,32.221193557458314,16.588889488803996,236.55608272529182,6.000000000013229,6.000000000001375,367.2724974116352,236.55608272529182
