iteration,weight_lbs,freeboard_in,gm_in,safety_factor
770,200.09,10.99,9.55,102.28
771,181.10,10.47,8.69,94.41
772,197.66,10.98,9.54,95.78
773,168.68,11.30,10.17,108.89
774,186.09,11.17,9.91,91.14
775,166.48,11.73,11.17,114.02
776,139.99,10.98,9.53,102.35
777,157.94,11.81,11.39,118.64
778,171.52,11.47,10.54,111.03
779,166.30,11.86,11.51,121.90
780,167.35,11.02,9.61,110.77
781,151.49,11.16,9.88,118.14
782,161.50,11.16,9.89,100.84
783,151.26,11.53,10.69,102.14
784,192.91,11.30,10.16,98.37
785,180.51,10.70,9.05,94.99
786,157.21,11.29,10.14,107.18
787,175.89,10.79,9.20,93.78
788,165.02,11.37,10.32,97.73
789,179.11,10.83,9.26,97.13
790,181.09,10.35,8.50,95.54
791,145.14,10.90,9.38,110.47
792,178.03,11.08,9.73,100.35
793,173.81,10.83,9.27,97.93
794,174.10,11.04,9.65,95.39
795,168.46,10.97,9.53,103.98
796,169.73,11.10,9.77,98.13
797,168.47,11.05,9.66,111.97
798,166.00,10.91,9.40,85.24
799,192.96,11.22,10.01,104.30
800,174.88,11.36,10.29,114.84
801,216.39,11.22,10.01,109.66
802,168.83,11.64,10.95,149.11
803,162.90,11.52,10.67,119.42
804,144.98,11.07,9.71,96.41
805,140.33,11.54,10.72,115.50
806,144.91,10.93,9.44,86.04
807,180.79,10.88,9.35,101.80
808,178.67,11.73,11.17,109.04
809,156.24,10.79,9.20,111.67
810,181.25,10.55,8.81,91.73
811,164.47,11.42,10.43,111.77
812,172.96,10.77,9.17,94.53
813,216.26,11.00,9.58,121.97
814,191.46,10.78,9.18,97.35
815,178.26,11.44,10.47,134.04
816,147.41,11.87,11.55,133.37
817,139.21,11.34,10.26,118.07
818,169.02,11.03,9.62,109.69
819,171.34,11.12,9.81,111.44
820,165.58,11.49,10.59,92.75
821,167.65,11.15,9.86,104.65
822,187.74,10.73,9.10,108.83
823,189.66,10.85,9.30,101.95
824,160.23,10.96,9.50,89.88
825,173.27,11.22,10.01,108.25
826,194.83,10.31,8.45,109.76
827,167.64,11.47,10.55,128.90
828,193.32,10.60,8.89,96.92
829,169.01,10.48,8.70,105.80
830,172.17,10.75,9.13,97.02
831,174.07,11.02,9.62,86.97
832,170.21,11.19,9.93,98.08
833,181.17,10.46,8.67,110.59
834,172.42,11.54,10.71,111.95
835,163.50,11.42,10.42,110.36
836,182.53,11.05,9.66,102.29
837,166.44,10.48,8.69,115.64
838,167.48,10.83,9.26,118.43
839,182.10,11.29,10.14,134.59
840,168.91,11.10,9.77,105.16
841,171.65,11.21,9.99,112.01
842,146.73,11.42,10.44,96.83
843,155.78,10.66,8.98,114.27
844,179.16,11.47,10.56,100.53
845,178.45,10.24,8.35,95.00
846,160.45,10.69,9.03,89.32
847,198.73,10.31,8.46,87.90
848,178.63,11.10,9.76,98.24
849,184.88,10.93,9.44,96.74
850,176.84,11.52,10.65,108.28
851,158.21,11.27,10.10,104.16
852,199.07,10.56,8.82,104.73
853,149.02,10.57,8.84,87.73
854,201.12,11.21,9.99,110.50
855,204.78,10.88,9.35,114.61
856,158.22,11.11,9.79,101.80
857,189.99,11.41,10.41,103.60
858,173.92,10.69,9.04,97.64
859,174.34,11.24,10.04,121.89
860,184.28,10.95,9.48,105.86
861,173.68,11.13,9.82,101.59
862,174.12,11.27,10.10,114.51
863,202.16,10.75,9.12,89.12
864,157.01,11.15,9.86,116.06
865,190.67,10.98,9.53,107.92
866,143.02,11.46,10.52,111.15
867,194.65,10.66,8.99,90.41
868,196.75,10.09,8.16,82.47
869,160.60,10.97,9.52,110.74
870,183.74,10.46,8.66,108.27
871,153.98,11.66,10.99,111.01
872,163.89,10.94,9.47,108.81
873,157.54,11.51,10.64,90.87
874,180.87,11.51,10.63,107.34
875,196.38,11.09,9.75,105.34
876,215.68,10.15,8.24,82.86
877,160.45,10.64,8.94,89.96
878,172.56,10.85,9.30,95.59
879,145.32,11.78,11.30,125.25
880,169.82,11.05,9.67,104.29
881,214.52,10.53,8.78,75.09
882,196.65,10.71,9.06,78.05
883,149.45,11.88,11.57,116.24
884,172.53,11.32,10.21,116.28
885,179.64,10.93,9.44,75.16
886,195.32,10.57,8.83,92.80
887,164.99,11.92,11.68,117.83
888,178.32,10.98,9.53,118.68
889,170.97,10.90,9.39,99.49
890,183.50,10.52,8.76,100.84
891,191.03,10.53,8.78,98.36
892,178.72,10.66,8.99,78.16
893,175.53,11.26,10.09,118.40
894,182.29,11.68,11.04,120.82
895,184.48,11.03,9.63,110.83
896,173.28,10.53,8.77,135.71
897,168.44,10.40,8.58,75.57
898,203.10,10.44,8.64,111.42
899,194.78,10.62,8.91,95.42
900,162.42,10.86,9.32,105.65
901,189.58,11.06,9.69,105.06
902,165.29,11.05,9.67,101.55
903,194.63,10.10,8.17,85.42
904,191.95,11.21,9.98,111.96
905,174.05,10.27,8.39,79.34
906,182.35,11.02,9.60,112.74
907,137.55,10.64,8.95,95.74
908,160.64,11.62,10.90,104.41
909,158.68,10.80,9.22,97.66
910,195.50,11.10,9.76,119.90
911,200.84,11.34,10.26,104.17
912,214.77,10.57,8.83,99.94
913,187.46,10.43,8.62,88.38
914,197.03,11.13,9.82,115.00
915,142.75,11.78,11.31,130.22
916,167.23,11.02,9.62,125.19
917,165.57,11.03,9.64,104.13
918,165.13,10.77,9.17,108.22
919,167.63,10.59,8.87,99.21
920,167.76,11.01,9.59,118.96
921,147.74,10.35,8.51,88.88
922,177.63,10.82,9.25,108.93
923,156.91,11.20,9.97,107.12
924,172.22,11.62,10.91,116.10
925,222.14,10.71,9.07,99.78
926,146.67,11.27,10.11,113.20
927,127.35,10.86,9.32,102.91
928,172.50,10.76,9.14,103.15
929,208.00,11.19,9.95,124.66
930,207.13,10.64,8.94,107.38
931,149.04,10.83,9.27,111.74
932,199.68,10.13,8.20,87.11
933,154.47,10.71,9.05,91.34
934,153.82,10.76,9.15,110.60
935,224.32,10.57,8.83,104.67
936,144.87,10.98,9.53,121.02
937,169.64,10.45,8.65,90.13
938,188.62,11.39,10.37,109.34
939,195.17,10.94,9.46,86.22
940,171.07,11.28,10.13,105.66
941,168.24,10.82,9.25,111.79
942,174.74,10.42,8.61,91.43
943,184.59,11.11,9.79,113.58
944,167.57,11.98,11.85,123.19
945,201.71,10.92,9.42,106.43
946,159.11,10.66,8.98,88.10
947,167.17,10.76,9.15,101.53
948,167.86,10.80,9.22,71.20
949,193.12,10.92,9.43,100.93
950,175.46,11.46,10.53,95.12
951,142.20,10.95,9.47,117.73
952,199.27,11.11,9.79,114.29
953,149.01,10.20,8.30,97.45
954,174.62,10.70,9.04,115.49
955,163.40,11.25,10.08,99.49
956,208.69,10.95,9.49,121.24
957,140.00,11.21,9.99,120.44
958,233.14,10.63,8.93,94.61
959,197.75,10.31,8.45,104.08
960,182.01,10.81,9.22,90.24
961,178.80,11.21,9.98,99.77
962,190.86,10.04,8.09,84.72
963,184.96,10.84,9.29,96.49
964,191.78,10.50,8.72,86.20
965,182.97,11.13,9.82,119.92
966,188.24,10.69,9.03,97.09
967,165.21,10.87,9.34,106.42
968,186.86,11.64,10.94,110.74
969,170.59,10.12,8.20,74.95
970,180.04,10.36,8.52,96.67
971,185.59,11.02,9.62,84.86
972,119.79,11.77,11.29,121.73
973,193.17,10.66,8.98,85.36
974,171.90,10.92,9.42,123.88
975,170.13,10.82,9.25,111.09
976,152.06,11.01,9.59,106.45
977,189.21,10.62,8.92,110.40
978,167.77,10.38,8.55,86.52
979,148.51,10.88,9.35,108.92
980,188.01,11.28,10.13,111.92
981,163.70,10.44,8.64,99.10
982,153.78,10.40,8.58,108.33
983,155.77,9.75,7.75,93.57
984,188.59,11.31,10.18,113.11
985,190.55,10.72,9.08,83.19
986,172.62,11.82,11.40,109.38
987,200.49,10.53,8.77,95.58
988,191.01,11.05,9.67,106.41
989,161.51,10.23,8.33,82.72
990,181.90,11.21,9.98,134.47
991,189.90,11.53,10.69,131.89
992,168.38,11.17,9.91,114.00
993,192.26,11.63,10.94,117.28
994,180.14,10.58,8.86,95.59
995,171.41,11.82,11.40,109.61
996,189.93,10.82,9.24,101.90
997,189.16,11.70,11.10,121.79
998,164.16,11.14,9.84,94.57
999,166.66,10.31,8.45,97.25
1000,166.04,10.84,9.29,101.10
