iteration,weight_lbs,freeboard_in,gm_in,safety_factor
177,145.36,11.75,11.22,101.60
178,184.90,11.07,9.71,108.19
179,155.29,10.66,8.99,120.12
180,176.09,10.71,9.06,100.79
181,182.80,10.47,8.69,94.45
182,189.74,10.61,8.90,94.20
183,179.98,11.36,10.29,108.90
184,150.85,11.24,10.04,125.38
185,155.59,11.39,10.37,87.91
186,197.07,10.23,8.33,106.53
187,161.09,11.53,10.68,99.19
188,169.81,10.60,8.88,95.78
189,176.03,10.55,8.81,93.12
190,145.96,10.37,8.54,101.13
191,172.21,11.12,9.81,89.90
192,157.77,10.76,9.14,106.29
193,165.69,10.05,8.10,109.24
194,168.73,11.23,10.03,94.06
195,148.23,11.76,11.25,123.48
196,185.25,11.64,10.96,109.41
197,166.37,10.70,9.04,104.08
198,185.12,11.65,10.97,117.36
199,178.61,11.06,9.69,99.05
200,186.50,10.67,9.00,103.42
201,179.51,10.82,9.26,120.19
202,171.51,10.78,9.18,99.49
203,185.75,10.77,9.15,108.12
204,193.08,10.28,8.40,81.20
205,163.25,11.41,10.41,101.78
206,166.90,11.27,10.11,114.99
207,166.34,11.31,10.20,127.64
208,167.02,10.64,8.95,102.91
209,154.03,10.70,9.05,97.63
210,242.99,10.27,8.40,92.55
211,157.24,10.56,8.83,86.19
212,171.45,11.45,10.49,120.69
213,169.54,10.28,8.40,102.30
214,195.67,10.16,8.24,87.31
215,166.59,10.68,9.02,95.13
216,202.94,10.00,8.04,91.56
217,156.56,11.75,11.23,115.09
218,176.96,11.14,9.84,106.44
219,156.15,11.37,10.32,135.91
220,211.85,10.38,8.55,91.46
221,171.39,11.39,10.38,109.02
222,163.09,10.70,9.05,93.24
223,191.37,10.25,8.37,99.76
224,166.97,10.70,9.04,97.81
225,167.12,10.87,9.33,96.08
226,181.25,11.30,10.17,125.09
227,175.57,11.28,10.13,125.62
228,162.65,10.50,8.73,91.06
229,184.06,10.55,8.80,78.83
230,219.23,10.64,8.95,107.49
231,158.81,11.22,10.00,101.74
232,152.40,11.93,11.72,135.10
233,173.14,11.39,10.37,90.14
234,211.43,9.88,7.90,94.83
235,177.38,11.45,10.50,100.11
236,208.66,10.62,8.92,104.80
237,182.75,10.46,8.67,95.38
238,166.29,11.52,10.65,104.13
239,178.02,10.83,9.27,97.58
240,210.64,10.30,8.43,99.31
241,161.24,11.02,9.62,106.64
242,169.82,9.78,7.77,92.30
243,168.38,11.67,11.03,141.97
244,163.55,10.57,8.84,83.09
245,153.53,11.15,9.87,125.53
246,150.79,10.78,9.18,102.97
247,170.77,10.78,9.18,92.03
248,155.91,11.37,10.32,97.36
249,193.74,10.71,9.06,97.97
250,150.55,11.88,11.56,135.37
251,168.78,10.72,9.09,98.80
252,197.05,10.66,8.97,113.60
253,154.67,10.81,9.23,87.93
254,189.84,10.39,8.56,94.86
255,180.68,10.74,9.11,87.28
256,149.90,11.05,9.66,110.32
257,215.57,11.02,9.61,113.36
258,175.13,11.23,10.02,104.17
259,165.72,10.50,8.73,71.94
260,179.91,10.30,8.44,95.84
261,175.45,11.03,9.63,109.61
262,175.05,10.91,9.41,107.51
263,154.24,11.45,10.51,127.05
264,150.53,10.61,8.91,88.48
265,174.97,10.66,8.97,105.83
266,140.88,10.36,8.52,107.01
267,186.18,11.22,10.00,89.58
268,147.64,11.28,10.13,114.14
269,158.18,10.95,9.49,99.26
270,196.69,10.51,8.75,95.50
271,206.64,10.80,9.22,104.38
272,171.65,11.32,10.21,104.98
273,164.43,10.64,8.95,92.86
274,168.93,10.67,9.00,100.02
275,185.62,11.24,10.05,96.66
276,180.70,10.33,8.48,84.02
277,216.09,10.16,8.25,96.89
278,175.66,10.87,9.34,90.68
279,178.16,10.88,9.35,109.50
280,165.77,10.77,9.16,105.81
281,177.54,11.27,10.11,90.85
282,177.24,10.90,9.40,96.33
283,200.94,11.65,10.97,131.06
284,179.04,10.54,8.79,87.34
285,177.63,11.56,10.77,110.91
286,136.97,10.57,8.84,103.23
287,141.76,11.30,10.17,120.39
288,188.26,10.93,9.44,100.73
289,157.51,11.32,10.20,104.77
290,133.21,11.34,10.26,128.71
291,179.07,10.31,8.46,110.23
292,211.69,11.71,11.13,128.71
293,169.12,10.44,8.64,96.78
294,196.51,10.64,8.95,90.52
295,178.75,11.41,10.41,103.15
296,166.70,11.44,10.47,119.11
297,198.42,10.07,8.13,94.12
298,171.85,11.35,10.27,127.16
299,185.99,11.34,10.25,118.14
300,185.34,10.39,8.56,80.71
301,156.20,10.92,9.43,114.89
302,185.98,11.25,10.06,97.87
303,177.56,10.82,9.26,98.09
304,166.15,11.42,10.43,116.14
305,183.26,10.42,8.60,114.30
306,159.79,10.60,8.88,129.53
307,185.72,10.64,8.94,104.88
308,169.05,10.82,9.25,100.02
309,198.06,10.04,8.09,94.62
310,180.58,10.89,9.38,111.88
311,171.98,11.45,10.49,109.67
312,198.45,10.58,8.86,115.10
313,206.12,9.85,7.86,89.26
314,191.17,11.24,10.05,114.35
315,185.63,11.01,9.59,112.03
316,151.95,10.92,9.42,108.71
317,161.24,11.05,9.67,115.38
318,166.46,11.40,10.39,105.64
319,166.43,10.53,8.77,92.10
320,169.97,10.00,8.04,80.12
321,176.07,10.84,9.29,106.67
322,188.70,11.21,9.99,116.85
323,166.10,11.64,10.95,122.80
324,201.39,10.64,8.95,115.21
325,166.70,10.53,8.78,97.18
326,132.09,11.03,9.63,113.85
327,167.16,10.99,9.55,93.77
328,178.48,11.15,9.87,103.56
329,158.24,11.50,10.62,123.34
330,190.24,10.48,8.70,104.32
331,200.36,10.38,8.55,91.36
332,186.52,11.50,10.61,112.67
333,171.24,10.30,8.43,79.74
334,193.13,10.57,8.83,93.49
335,185.29,10.28,8.41,101.87
336,167.27,11.54,10.72,122.23
337,157.12,11.62,10.91,123.39
338,166.42,11.05,9.67,106.56
339,171.02,10.75,9.13,101.01
340,172.27,10.20,8.30,86.39
341,169.86,10.67,9.00,106.33
342,176.40,11.02,9.62,109.73
343,183.94,11.30,10.17,115.48
344,189.80,10.32,8.46,88.58
345,186.11,11.26,10.08,85.48
346,150.53,10.42,8.62,107.16
347,121.29,11.42,10.44,109.11
348,177.09,10.26,8.38,84.78
349,145.54,10.85,9.31,110.40
350,168.63,11.03,9.64,101.48
351,156.58,11.28,10.12,122.46
352,153.76,11.22,10.01,116.89
353,191.28,10.64,8.95,105.38
354,185.79,10.83,9.26,87.59
355,164.24,11.25,10.07,123.22
356,123.53,11.36,10.30,116.26
357,164.76,10.97,9.52,100.85
358,178.41,11.79,11.35,122.33
359,151.29,10.91,9.40,85.69
360,170.19,11.37,10.33,116.28
361,178.44,11.39,10.36,100.61
362,198.07,11.47,10.56,98.14
363,175.37,11.68,11.04,100.14
364,160.70,11.60,10.84,130.16
365,201.37,11.04,9.66,98.30
366,168.17,10.17,8.26,106.33
367,175.71,11.15,9.85,101.76
368,158.38,10.97,9.52,87.09
369,167.47,10.82,9.24,90.67
370,153.08,11.03,9.63,119.07
371,171.51,10.99,9.55,103.16
372,208.57,11.20,9.96,101.44
373,161.49,10.42,8.61,98.01
374,153.52,10.33,8.48,100.04
375,220.61,11.32,10.21,121.99
376,164.25,11.43,10.46,129.58
377,169.78,11.09,9.73,102.98
378,193.81,11.20,9.97,93.57
379,181.51,10.68,9.01,95.76
380,197.35,11.08,9.73,107.87
381,178.20,10.01,8.05,81.01
382,161.03,10.53,8.78,88.27
383,189.10,10.75,9.12,102.73
384,159.66,10.61,8.90,98.39
385,179.99,10.44,8.63,95.78
386,180.72,11.13,9.82,98.85
