# NAU Concrete Canoe 2026 — Design C CNC Coordinates
# Design C — Long & Stable (Speed)
# Hull: 216" × 36" × 18", thickness 0.5"
# Stations every 6.0" (37 stations)
# Format: Station_Number, Position_in, X_coord, Y_coord
# Cross-section: V-bottom, deadrise=15°, depth=18"
# Origin: keel centerline at bottom

Station, Pos(in), X(in), Y(in)
# --- Station 0 at 0" (beam=0.0") ---
8, 48.0, -8.099, 2.170
8, 48.0, -6.942, 1.860
8, 48.0, -5.785, 1.550
8, 48.0, -4.628, 1.240
8, 48.0, -3.471, 0.930
8, 48.0, -2.314, 0.620
8, 48.0, -1.157, 0.310
8, 48.0, 0.000, 0.000
8, 48.0, 1.157, 0.310
8, 48.0, 2.314, 0.620
8, 48.0, 3.471, 0.930
8, 48.0, 4.628, 1.240
8, 48.0, 5.785, 1.550
8, 48.0, 6.942, 1.860
8, 48.0, 8.099, 2.170
8, 48.0, 9.256, 2.480
8, 48.0, 10.413, 2.790
8, 48.0, 11.570, 3.100
8, 48.0, 11.570, 18.000
8, 48.0, -11.570, 18.000
# --- Station 9 at 54" (beam=25.5") ---
9, 54.0, -12.728, 3.410
9, 54.0, -11.455, 3.069
9, 54.0, -10.182, 2.728
9, 54.0, -8.910, 2.387
9, 54.0, -7.637, 2.046
9, 54.0, -6.364, 1.705
9, 54.0, -5.091, 1.364
9, 54.0, -3.818, 1.023
9, 54.0, -2.546, 0.682
9, 54.0, -1.273, 0.341
9, 54.0, 0.000, 0.000
9, 54.0, 1.273, 0.341
9, 54.0, 2.546, 0.682
9, 54.0, 3.818, 1.023
9, 54.0, 5.091, 1.364
9, 54.0, 6.364, 1.705
9, 54.0, 7.637, 2.046
9, 54.0, 8.910, 2.387
9, 54.0, 10.182, 2.728
9, 54.0, 11.455, 3.069
9, 54.0, 12.728, 3.410
9, 54.0, 12.728, 18.000
9, 54.0, -12.728, 18.000
# --- Station 10 at 60" (beam=27.6") ---
10, 60.0, -13.789, 3.695
10, 60.0, -12.410, 3.325
10, 60.0, -11.031, 2.956
10, 60.0, -9.652, 2.586
10, 60.0, -8.273, 2.217
10, 60.0, -6.894, 1.847
10, 60.0, -5.516, 1.478
10, 60.0, -4.137, 1.108
10, 60.0, -2.758, 0.739
10, 60.0, -1.379, 0.369
10, 60.0, 0.000, 0.000
10, 60.0, 1.379, 0.369
10, 60.0, 2.758, 0.739
10, 60.0, 4.137, 1.108
10, 60.0, 5.516, 1.478
10, 60.0, 6.894, 1.847
10, 60.0, 8.273, 2.217
10, 60.0, 9.652, 2.586
10, 60.0, 11.031, 2.956
10, 60.0, 12.410, 3.325
10, 60.0, 13.789, 3.695
10, 60.0, 13.789, 18.000
10, 60.0, -13.789, 18.000
# --- Station 11 at 66" (beam=29.5") ---
11, 66.0, -14.745, 3.951
11, 66.0, -13.270, 3.556
11, 66.0, -11.796, 3.161
11, 66.0, -10.321, 2.766
11, 66.0, -8.847, 2.371
11, 66.0, -7.372, 1.975
11, 66.0, -5.898, 1.580
11, 66.0, -4.423, 1.185
11, 66.0, -2.949, 0.790
11, 66.0, -1.474, 0.395
11, 66.0, 0.000, 0.000
11, 66.0, 1.474, 0.395
11, 66.0, 2.949, 0.790
11, 66.0, 4.423, 1.185
11, 66.0, 5.898, 1.580
11, 66.0, 7.372, 1.975
11, 66.0, 8.847, 2.371
11, 66.0, 10.321, 2.766
11, 66.0, 11.796, 3.161
11, 66.0, 13.270, 3.556
11, 66.0, 14.745, 3.951
11, 66.0, 14.745, 18.000
11, 66.0, -14.745, 18.000
# --- Station 12 at 72" (beam=31.2") ---
12, 72.0, -15.588, 4.177
12, 72.0, -14.030, 3.759
12, 72.0, -12.471, 3.342
12, 72.0, -10.912, 2.924
12, 72.0, -9.353, 2.506
12, 72.0, -7.794, 2.088
12, 72.0, -6.235, 1.671
12, 72.0, -4.677, 1.253
12, 72.0, -3.118, 0.835
12, 72.0, -1.559, 0.418
12, 72.0, -0.000, 0.000
12, 72.0, 1.559, 0.418
12, 72.0, 3.118, 0.835
12, 72.0, 4.677, 1.253
12, 72.0, 6.235, 1.671
12, 72.0, 7.794, 2.088
12, 72.0, 9.353, 2.506
12, 72.0, 10.912, 2.924
12, 72.0, 12.471, 3.342
12, 72.0, 14.030, 3.759
12, 72.0, 15.588, 4.177
12, 72.0, 15.588, 18.000
12, 72.0, -15.588, 18.000
# --- Station 13 at 78" (beam=32.6") ---
13, 78.0, -16.314, 4.371
13, 78.0, -14.682, 3.934
13, 78.0, -13.051, 3.497
13, 78.0, -11.419, 3.060
13, 78.0, -9.788, 2.623
13, 78.0, -8.157, 2.186
13, 78.0, -6.525, 1.748
13, 78.0, -4.894, 1.311
13, 78.0, -3.263, 0.874
13, 78.0, -1.631, 0.437
13, 78.0, 0.000, 0.000
13, 78.0, 1.631, 0.437
13, 78.0, 3.263, 0.874
13, 78.0, 4.894, 1.311
13, 78.0, 6.525, 1.748
13, 78.0, 8.157, 2.186
13, 78.0, 9.788, 2.623
13, 78.0, 11.419, 3.060
13, 78.0, 13.051, 3.497
13, 78.0, 14.682, 3.934
13, 78.0, 16.314, 4.371
13, 78.0, 16.314, 18.000
13, 78.0, -16.314, 18.000
# --- Station 14 at 84" (beam=33.8") ---
14, 84.0, -16.914, 4.532
14, 84.0, -15.223, 4.079
