# NAU Concrete Canoe 2026 — Design A CNC Coordinates
# Design A — Optimal (Lightest)
# Hull: 192" × 32" × 17", thickness 0.5"
# Stations every 6.0" (33 stations)
# Format: Station_Number, Position_in, X_coord, Y_coord
# Cross-section: V-bottom, deadrise=15°, depth=17"
# Origin: keel centerline at bottom

Station, Pos(in), X(in), Y(in)
# --- Station 0 at 0" (beam=0.0") ---
8, 48.0, -7.920, 2.122
8, 48.0, -6.788, 1.819
8, 48.0, -5.657, 1.516
8, 48.0, -4.525, 1.213
8, 48.0, -3.394, 0.909
8, 48.0, -2.263, 0.606
8, 48.0, -1.131, 0.303
8, 48.0, 0.000, 0.000
8, 48.0, 1.131, 0.303
8, 48.0, 2.263, 0.606
8, 48.0, 3.394, 0.909
8, 48.0, 4.525, 1.213
8, 48.0, 5.657, 1.516
8, 48.0, 6.788, 1.819
8, 48.0, 7.920, 2.122
8, 48.0, 9.051, 2.425
8, 48.0, 10.182, 2.728
8, 48.0, 11.314, 3.031
8, 48.0, 11.314, 17.000
8, 48.0, -11.314, 17.000
# --- Station 9 at 54" (beam=24.7") ---
9, 54.0, -12.368, 3.314
9, 54.0, -11.131, 2.983
9, 54.0, -9.895, 2.651
9, 54.0, -8.658, 2.320
9, 54.0, -7.421, 1.988
9, 54.0, -6.184, 1.657
9, 54.0, -4.947, 1.326
9, 54.0, -3.710, 0.994
9, 54.0, -2.474, 0.663
9, 54.0, -1.237, 0.331
9, 54.0, 0.000, 0.000
9, 54.0, 1.237, 0.331
9, 54.0, 2.474, 0.663
9, 54.0, 3.710, 0.994
9, 54.0, 4.947, 1.326
9, 54.0, 6.184, 1.657
9, 54.0, 7.421, 1.988
9, 54.0, 8.658, 2.320
9, 54.0, 9.895, 2.651
9, 54.0, 11.131, 2.983
9, 54.0, 12.368, 3.314
9, 54.0, 12.368, 17.000
9, 54.0, -12.368, 17.000
# --- Station 10 at 60" (beam=26.6") ---
10, 60.0, -13.304, 3.565
10, 60.0, -11.973, 3.208
10, 60.0, -10.643, 2.852
10, 60.0, -9.312, 2.495
10, 60.0, -7.982, 2.139
10, 60.0, -6.652, 1.782
10, 60.0, -5.321, 1.426
10, 60.0, -3.991, 1.069
10, 60.0, -2.661, 0.713
10, 60.0, -1.330, 0.356
10, 60.0, 0.000, 0.000
10, 60.0, 1.330, 0.356
10, 60.0, 2.661, 0.713
10, 60.0, 3.991, 1.069
10, 60.0, 5.321, 1.426
10, 60.0, 6.652, 1.782
10, 60.0, 7.982, 2.139
10, 60.0, 9.312, 2.495
10, 60.0, 10.643, 2.852
10, 60.0, 11.973, 3.208
10, 60.0, 13.304, 3.565
10, 60.0, 13.304, 17.000
10, 60.0, -13.304, 17.000
# --- Station 11 at 66" (beam=28.2") ---
11, 66.0, -14.111, 3.781
11, 66.0, -12.700, 3.403
11, 66.0, -11.289, 3.025
11, 66.0, -9.878, 2.647
11, 66.0, -8.466, 2.269
11, 66.0, -7.055, 1.890
11, 66.0, -5.644, 1.512
11, 66.0, -4.233, 1.134
11, 66.0, -2.822, 0.756
11, 66.0, -1.411, 0.378
11, 66.0, 0.000, 0.000
11, 66.0, 1.411, 0.378
11, 66.0, 2.822, 0.756
11, 66.0, 4.233, 1.134
11, 66.0, 5.644, 1.512
11, 66.0, 7.055, 1.890
11, 66.0, 8.466, 2.269
11, 66.0, 9.878, 2.647
11, 66.0, 11.289, 3.025
11, 66.0, 12.700, 3.403
11, 66.0, 14.111, 3.781
11, 66.0, 14.111, 17.000
11, 66.0, -14.111, 17.000
# --- Station 12 at 72" (beam=29.6") ---
12, 72.0, -14.782, 3.961
12, 72.0, -13.304, 3.565
12, 72.0, -11.826, 3.169
12, 72.0, -10.347, 2.773
12, 72.0, -8.869, 2.377
12, 72.0, -7.391, 1.980
12, 72.0, -5.913, 1.584
12, 72.0, -4.435, 1.188
12, 72.0, -2.956, 0.792
12, 72.0, -1.478, 0.396
12, 72.0, 0.000, 0.000
12, 72.0, 1.478, 0.396
12, 72.0, 2.956, 0.792
12, 72.0, 4.435, 1.188
12, 72.0, 5.913, 1.584
12, 72.0, 7.391, 1.980
12, 72.0, 8.869, 2.377
12, 72.0, 10.347, 2.773
12, 72.0, 11.826, 3.169
12, 72.0, 13.304, 3.565
12, 72.0, 14.782, 3.961
12, 72.0, 14.782, 17.000
12, 72.0, -14.782, 17.000
# --- Station 13 at 78" (beam=30.6") ---
13, 78.0, -15.311, 4.103
13, 78.0, -13.780, 3.692
13, 78.0, -12.249, 3.282
13, 78.0, -10.718, 2.872
13, 78.0, -9.187, 2.462
13, 78.0, -7.656, 2.051
13, 78.0, -6.124, 1.641
13, 78.0, -4.593, 1.231
13, 78.0, -3.062, 0.821
13, 78.0, -1.531, 0.410
13, 78.0, 0.000, 0.000
13, 78.0, 1.531, 0.410
13, 78.0, 3.062, 0.821
13, 78.0, 4.593, 1.231
13, 78.0, 6.124, 1.641
13, 78.0, 7.656, 2.051
13, 78.0, 9.187, 2.462
13, 78.0, 10.718, 2.872
13, 78.0, 12.249, 3.282
13, 78.0, 13.780, 3.692
13, 78.0, 15.311, 4.103
13, 78.0, 15.311, 17.000
13, 78.0, -15.311, 17.000
# --- Station 14 at 84" (beam=31.4") ---
14, 84.0, -15.693, 4.205
14, 84.0, -14.123, 3.784
14, 84.0, -12.554, 3.364
14, 84.0, -10.985, 2.943
14, 84.0, -9.416, 2.523
14, 84.0, -7.846, 2.102
14, 84.0, -6.277, 1.682
14, 84.0, -4.708, 1.261
14, 84.0, -3.139, 0.841
14, 84.0, -1.569, 0.420
14, 84.0, 0.000, 0.000
14, 84.0, 1.569, 0.420
14, 84.0, 3.139, 0.841
14, 84.0, 4.708, 1.261
14, 84.0, 6.277, 1.682
14, 84.0, 7.846, 2.102
14, 84.0, 9.416, 2.523
14, 84.0, 10.985, 2.943
14, 84.0, 12.554, 3.364
14, 84.0, 14.123, 3.784
14, 84.0, 15.693, 4.205
14, 84.0, 15.693, 17.000
14, 84.0, -15.693, 17.000
# --- Station 15 at 90" (beam=31.8") ---
15, 90.0, -15.923, 4.267
15, 90.0, -14.331, 3.840
15, 90.0, -12.738, 3.413
15, 90.0, -11.146, 2.987
15, 90.0, -9.554, 2.560
15, 90.0, -7.961, 2.133
15, 90.0, -6.369, 1.707
15, 90.0, -4.777, 1.280
15, 90.0, -3.185, 0.853
15, 90.0, -1.592, 0.427
15, 90.0, 0.000, 0.000
15, 90.0, 1.592, 0.427
15, 90.0, 3.185, 0.853
15, 90.0, 4.777, 1.280
15, 90.0, 6.369, 1.707
15, 90.0, 7.961, 2.133
15, 90.0, 9.554, 2.560
15, 90.0, 11.146, 2.987
15, 90.0, 12.738, 3.413
15, 90.0, 14.331, 3.840
15, 90.0, 15.923, 4.267
15, 90.0, 15.923, 17.000
