# NAU Concrete Canoe 2026 — Design B CNC Coordinates
# Design B — Conservative (Extra Margin)
# Hull: 196" × 34" × 18", thickness 0.5"
# Stations every 6.0" (33 stations)
# Format: Station_Number, Position_in, X_coord, Y_coord
# Cross-section: V-bottom, deadrise=15°, depth=18"
# Origin: keel centerline at bottom

Station, Pos(in), X(in), Y(in)
# --- Station 0 at 0" (beam=0.0") ---
8, 48.0, -8.279, 2.218
8, 48.0, -7.096, 1.901
8, 48.0, -5.913, 1.584
8, 48.0, -4.731, 1.268
8, 48.0, -3.548, 0.951
8, 48.0, -2.365, 0.634
8, 48.0, -1.183, 0.317
8, 48.0, 0.000, 0.000
8, 48.0, 1.183, 0.317
8, 48.0, 2.365, 0.634
8, 48.0, 3.548, 0.951
8, 48.0, 4.731, 1.268
8, 48.0, 5.913, 1.584
8, 48.0, 7.096, 1.901
8, 48.0, 8.279, 2.218
8, 48.0, 9.461, 2.535
8, 48.0, 10.644, 2.852
8, 48.0, 11.827, 3.169
8, 48.0, 11.827, 18.000
8, 48.0, -11.827, 18.000
# --- Station 9 at 54" (beam=25.9") ---
9, 54.0, -12.945, 3.468
9, 54.0, -11.650, 3.122
9, 54.0, -10.356, 2.775
9, 54.0, -9.061, 2.428
9, 54.0, -7.767, 2.081
9, 54.0, -6.472, 1.734
9, 54.0, -5.178, 1.387
9, 54.0, -3.883, 1.041
9, 54.0, -2.589, 0.694
9, 54.0, -1.294, 0.347
9, 54.0, 0.000, 0.000
9, 54.0, 1.294, 0.347
9, 54.0, 2.589, 0.694
9, 54.0, 3.883, 1.041
9, 54.0, 5.178, 1.387
9, 54.0, 6.472, 1.734
9, 54.0, 7.767, 2.081
9, 54.0, 9.061, 2.428
9, 54.0, 10.356, 2.775
9, 54.0, 11.650, 3.122
9, 54.0, 12.945, 3.468
9, 54.0, 12.945, 18.000
9, 54.0, -12.945, 18.000
# --- Station 10 at 60" (beam=27.9") ---
10, 60.0, -13.943, 3.736
10, 60.0, -12.549, 3.362
10, 60.0, -11.154, 2.989
10, 60.0, -9.760, 2.615
10, 60.0, -8.366, 2.242
10, 60.0, -6.971, 1.868
10, 60.0, -5.577, 1.494
10, 60.0, -4.183, 1.121
10, 60.0, -2.789, 0.747
10, 60.0, -1.394, 0.374
10, 60.0, 0.000, 0.000
10, 60.0, 1.394, 0.374
10, 60.0, 2.789, 0.747
10, 60.0, 4.183, 1.121
10, 60.0, 5.577, 1.494
10, 60.0, 6.971, 1.868
10, 60.0, 8.366, 2.242
10, 60.0, 9.760, 2.615
10, 60.0, 11.154, 2.989
10, 60.0, 12.549, 3.362
10, 60.0, 13.943, 3.736
10, 60.0, 13.943, 18.000
10, 60.0, -13.943, 18.000
# --- Station 11 at 66" (beam=29.6") ---
11, 66.0, -14.812, 3.969
11, 66.0, -13.331, 3.572
11, 66.0, -11.850, 3.175
11, 66.0, -10.369, 2.778
11, 66.0, -8.887, 2.381
11, 66.0, -7.406, 1.984
11, 66.0, -5.925, 1.588
11, 66.0, -4.444, 1.191
11, 66.0, -2.962, 0.794
11, 66.0, -1.481, 0.397
11, 66.0, 0.000, 0.000
11, 66.0, 1.481, 0.397
11, 66.0, 2.962, 0.794
11, 66.0, 4.444, 1.191
11, 66.0, 5.925, 1.588
11, 66.0, 7.406, 1.984
11, 66.0, 8.887, 2.381
11, 66.0, 10.369, 2.778
11, 66.0, 11.850, 3.175
11, 66.0, 13.331, 3.572
11, 66.0, 14.812, 3.969
11, 66.0, 14.812, 18.000
11, 66.0, -14.812, 18.000
# --- Station 12 at 72" (beam=31.1") ---
12, 72.0, -15.545, 4.165
12, 72.0, -13.991, 3.749
12, 72.0, -12.436, 3.332
12, 72.0, -10.882, 2.916
12, 72.0, -9.327, 2.499
12, 72.0, -7.773, 2.083
12, 72.0, -6.218, 1.666
12, 72.0, -4.664, 1.250
12, 72.0, -3.109, 0.833
12, 72.0, -1.555, 0.417
12, 72.0, 0.000, 0.000
12, 72.0, 1.555, 0.417
12, 72.0, 3.109, 0.833
12, 72.0, 4.664, 1.250
12, 72.0, 6.218, 1.666
12, 72.0, 7.773, 2.083
12, 72.0, 9.327, 2.499
12, 72.0, 10.882, 2.916
12, 72.0, 12.436, 3.332
12, 72.0, 13.991, 3.749
12, 72.0, 15.545, 4.165
12, 72.0, 15.545, 18.000
12, 72.0, -15.545, 18.000
# --- Station 13 at 78" (beam=32.3") ---
13, 78.0, -16.134, 4.323
13, 78.0, -14.521, 3.891
13, 78.0, -12.907, 3.458
13, 78.0, -11.294, 3.026
13, 78.0, -9.680, 2.594
13, 78.0, -8.067, 2.162
13, 78.0, -6.454, 1.729
13, 78.0, -4.840, 1.297
13, 78.0, -3.227, 0.865
13, 78.0, -1.613, 0.432
13, 78.0, 0.000, 0.000
13, 78.0, 1.613, 0.432
13, 78.0, 3.227, 0.865
13, 78.0, 4.840, 1.297
13, 78.0, 6.454, 1.729
13, 78.0, 8.067, 2.162
13, 78.0, 9.680, 2.594
13, 78.0, 11.294, 3.026
13, 78.0, 12.907, 3.458
13, 78.0, 14.521, 3.891
13, 78.0, 16.134, 4.323
13, 78.0, 16.134, 18.000
